Barrio,Localidad
Abajo,Norte-Centro Histórico
Alameda del Rio,Norte-Centro Histórico
Alfonso López,Suroccidente
Altamira,Riomar
Altos de Riomar,Riomar
Altos del Limón,Riomar
Altos del Prado,Norte-Centro Histórico
America,Norte-Centro Histórico
Andalucia,Riomar
Atlántico,Suroriente
Barlovento,Norte-Centro Histórico
Bellarena,Suroriente
Bellavista,Norte-Centro Histórico
Bernardo Hoyos,Suroccidente
Bethania,Norte-Centro Histórico
Bostón,Norte-Centro Histórico
Boyaca,Suroriente
Buena Esperanza,Suroccidente
Buenos Aires,Metropolitana
California,Suroccidente
Campo Alegre,Norte-Centro Histórico
Caribe Verde,Suroccidente
Carlos Meisel,Suroccidente
Carrizal,Metropolitana
Centro,Norte-Centro Histórico
Cevillar,Metropolitana
Chiquinquira,Suroriente
Ciudad Jardín,Norte-Centro Histórico
Ciudad Modesto,Suroccidente
Ciudadela 20 de Julio,Metropolitana
Ciudadela de la Salud,Suroccidente
Ciudadela de Paz,Suroccidente
Colina Campestre,Suroccidente
Colombia,Norte-Centro Histórico
Cordialidad,Suroccidente
Corregimiento de Juan Mina,Suroccidente
Corregimiento Eduardo Santos La Playa,Riomar
Cuchilla de Villate,Suroccidente
El Bosque,Suroccidente
El Campito,Suroriente
El Carmén,Suroccidente
El Castillo,Norte-Centro Histórico
El Eden,Suroccidente
El Golf,Norte-Centro Histórico
El Limón,Suroriente
El Limoncito,Riomar
El Milagro,Suroriente
El Parque Sector Barranquilla,Suroriente
El Poblado,Riomar
El Porvenir,Norte-Centro Histórico
El Prado,Norte-Centro Histórico
El Pueblo,Suroccidente
El Recreo,Norte-Centro Histórico
El Romance,Suroccidente
El Rosario,Norte-Centro Histórico
El Rubí,Suroccidente
El Santuario,Metropolitana
El Silencio,Suroccidente
El Tabor,Norte-Centro Histórico
El Valle,Suroccidente
Evaristo Sourdis,Suroccidente
Gerlein y Villate,Suroccidente
Granadillo,Norte-Centro Histórico
José Antonio Galán,Suroriente
Kalamary,Suroccidente
Kennedy,Metropolitana
La Alboraya,Suroriente
La Campiña,Norte-Centro Histórico
La Ceiba,Suroccidente
La Chinita,Suroriente
La Concepción,Norte-Centro Histórico
La Cumbre,Norte-Centro Histórico
La Esmeralda,Suroccidente
La Floresta,Riomar
La Florida,Suroccidente
La Gloria,Suroccidente
La Libertad,Suroccidente
La Loma,Norte-Centro Histórico
La Luz,Suroriente
La Magdalena,Suroriente
La Manga,Suroccidente
La Paz,Suroccidente
La Pradera,Suroccidente
La Sierra,Metropolitana
La Sierrita,Metropolitana
La Unión,Suroriente
La Victoria,Suroriente
Las Americas,Metropolitana
Las Cayenas,Metropolitana
Las Colinas,Suroccidente
Las Delicias,Norte-Centro Histórico
Las Dunas,Suroriente
Las Estrellas,Suroccidente
Las Flores,Riomar
Las Gardenias,Metropolitana
Las Granjas,Metropolitana
Las Malvinas,Suroccidente
Las Mercedes,Norte-Centro Histórico
Las Nieves,Suroriente
Las Nubes (vereda),Norte-Centro Histórico
Las Palmas,Suroriente
Las Palmeras,Suroriente
Las Terrazas,Suroccidente
Las Tres Ave Maria,Riomar
Lipaya,Suroccidente
Loma Fresca,Suroccidente
Los Alpes,Norte-Centro Histórico
Los Andes,Suroccidente
Los Angeles I,Suroccidente
Los Angeles II,Suroccidente
Los Angeles III,Suroccidente
Los Continentes,Metropolitana
Los Girasoles,Metropolitana
Los Jobos,Norte-Centro Histórico
Los Laureles,Suroriente
Los Nogales,Norte-Centro Histórico
Los Olivos I,Suroccidente
Los Olivos II,Suroccidente
Los Pinos,Suroccidente
Los Rosales,Suroccidente
Los Trupillos,Suroriente
Lucero,Suroccidente
Me Quejo,Suroccidente
Mercedes Sur,Suroccidente
Miramar,Norte-Centro Histórico
Modelo,Norte-Centro Histórico
Moderno,Suroriente
Montecristo,Norte-Centro Histórico
Montes,Suroriente
Nueva Colombia,Suroccidente
Nueva Granada,Suroccidente
Nuevo Horizonte,Norte-Centro Histórico
Olaya,Suroccidente
Paraiso,Norte-Centro Histórico
Pasadena,Suroriente
Pinar del Rio,Suroccidente
Por Fin,Suroccidente
Primero de Mayo El Ferry,Suroriente
Pumarejo,Suroccidente
Rebolo,Suroriente
Riomar,Riomar
San Felipe,Suroccidente
San Francisco,Norte-Centro Histórico
San Isidro,Suroccidente
San Jose,Suroriente
San Luis,Metropolitana
San Nicolás,Suroriente
San Pedro Alejandrino,Suroccidente
San Pedro Sector I,Suroccidente
San Roque,Suroriente
San Salvador,Riomar
San Vicente,Riomar
Santa Ana,Norte-Centro Histórico
Santa Helena,Suroriente
Santa María,Metropolitana
Santa Mónica,Riomar
Santo Domigo,Suroccidente
Santo Domingo de Guzman,Metropolitana
Sevilla Real,Metropolitana
Siape,Riomar
Siete de Abril,Metropolitana
Siete de Agosto,Suroccidente
Simón Bolívar,Suroriente
Sinaí,Metropolitana
Solaire Norte,Riomar
Tayrona,Suroriente
Universal I,Suroriente
Universal II,Suroriente
Veinte de Julio,Metropolitana
Villa Blanca,Suroriente
Villa Campestre,Riomar
Villa Carolina,Riomar
Villa Country,Norte-Centro Histórico
Villa del Carmén,Suroriente
Villa del Este,Riomar
Villa del Rosario,Suroccidente
Villa Flor,Suroccidente
Villa San Carlos,Metropolitana
Villa San Pedro,Metropolitana
Villa Santos,Riomar
Villa Sevilla,Metropolitana
Villa Valery,Metropolitana
Villanueva,Norte-Centro Histórico
Villas de la Cordialidad,Suroccidente
Villas de San Pablo,Suroccidente
Zona Franca,Norte-Centro Histórico
Zona Industrial,Norte-Centro Histórico
