Título,URL_Foto,Precio_de_Venta,Área_construida,Habitaciones,Baños
"Apartamento en Venta, VILLA CAROLINA, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-carolina-3-habitaciones-3-banos-1-garajes/710-M2790909,$310.000.000,86 m²,3,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-4-banos-2-garajes/2230-6929,$650.000.000,150 m²,3,4
"Apartamento en Venta, El Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-country-1-habitaciones-1-banos-1-garajes/2230-6394,$175.000.000,35 m²,1,1
"Casa en Venta, El Poblado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-el-poblado-4-habitaciones-3-banos-3-garajes/2230-7122,$2.625.548.000,259 m²,4,3
"Lote o Casalote en Venta, CIRCUNVALAR, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-lote-o-casalote-barranquilla-san-pedro-alejandrino/2398-22605,$2.800.000.000,0 m²,,
"Casa en Venta, La Cumbre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-la-cumbre-3-habitaciones-4-banos-1-garajes/2398-20671,$870.000.000,380 m²,3,4
"Apartamento en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-campestre-2-habitaciones-3-banos-1-garajes/2398-22353,$238.000.000,67 m²,2,3
"Casa en Venta, Villa Campestre, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-casa-barranquilla-villa-campestre-4-habitaciones-4-banos-2-garajes/2969-4058,$1.380.000.000,344 m²,4,4
"Apartamento en Venta, Villa Santos, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-santos-3-habitaciones-3-banos-1-garajes/2969-4239,$495.000.000,117 m²,3,3
"Apartamento en Venta, Ciudad Jardín, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-ciudad-jardin-3-habitaciones-3-banos-1-garajes/2969-3910,$330.000.000,99 m²,3,3
"Apartamento en Venta, Alto Prado, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-altos-del-prado-3-habitaciones-3-banos-2-garajes/2969-4343,$900.000.000,177 m²,3,3
"Apartamento en Venta, LAS DELICIAS, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-las-delicias-3-habitaciones-2-banos-1-garajes/11069-M2615121,$260.000.000,113 m²,3,2
"Apartamento en Venta, Villa del este, Barranquilla",https://www.metrocuadrado.com/inmueble/venta-apartamento-barranquilla-villa-del-este-2-habitaciones-3-banos-1-garajes/7515-411268,$430.413.000,108 m²,2,3
